"Zocrates","201608040336","squawk_201608040336"
"I wanna be a stay-at-home scientist","201608040343","squawk_201608040343"
"Would liked to have met the first proto-bat that tried to fly.","201608052055","squawk_201608052055"
"does being old school include communal farming and sun worship","201608052334","squawk_201608052334"
"Can we do better than trees?","201608102209","squawk_201608102209"
"lol the best prank by far gotta be that there isn't going to be enough fresh water haha fucken sick","201608180010","squawk_201608180010"
"Today I remembered I'm a grown man so I went to the store, bought a cake, and threw the whole thing away","201702170007","squawk_201702170007"
"the chemotherapy animal testing lab has everything I need for my Remy cosplay","201702170010","squawk_201702170010"
"the world is experiencing Information Age sickness, please stand by","201702180554","squawk_201702180554"
"Life, ourselves, and our creations are all in nature. Think about all we can do, all the possibilities.","201702242113","squawk_201702242113"
"It's normal to not want normal","201703251616","squawk_201703251616"
"gargling dr pepper asmr","201703270050","squawk_201703270050"
"a human scale isn't cutting it anymore","201703270247","squawk_201703270247"
"My skeleton is probably sexier than I am.","201704030447","squawk_201704030447"
"You know what they say! If you can't beat them, beat yourself.","201704072207","squawk_201704072207"
"got a prize for being the best at being normal","201704230441","squawk_201704230441"
"Do you prefer mild, medium, or spicy mannered?","201704230443","squawk_201704230443"
"let's find a mountain trail to lose our breathes on","201705061332","squawk_201705061332"
"University Email Tower Defense is my favorite video game","201705072138","squawk_201705072138"
"There are so many unexpected, positive things that can happen.","201705241809","squawk_201705241809"
"gonna grow some plants in my car","201705270621","squawk_201705270621"
"sprinkle my ashes on your succulents","201705270626","squawk_201705270626"
"your picture's in my wallet and i'm going to dolphin city","201705270630","squawk_201705270630"
"mfk: 1 George Washington, 2 George Washingtons, 3 George Washingtons","201705270702","squawk_201705270702"
"ur swimming in a kelp forest with sea otters, it's chill af, a sea nymph seduces you in a coral bed, you swallow shark teeth and melt","201706030509","squawk_201706030509"
"I'll take you under my wing cept I'm a cockroach so it's really gross","201706140429","squawk_201706140429"
"A good experiment would be to remove government from a state to turn it into a lawless frontier","201706181841","squawk_201706181841"
"wish I was popular enough to have toxic people to kick out of my life","201706230442","squawk_201706230442"
"look at nature and ask yourself what's possible","201706300549","squawk_201706300549"
"On your last bench rep your tonsil stone shoots out and into the mouth of your spotter","201707072009","squawk_201707072009"
"There are just these wonderful, tiny scenes in nature that too often go unnoticed.","201707091132","squawk_201707091132"
"all dogs are clones of each other. They just have different haircuts","201707091154","squawk_201707091154"
"sneak into factory at night, turn the whole thing on, film everything like How It's Made, burn the place down and hold the tapes ransom","201707102054","squawk_201707102054"
"Is Economics A Useful Model Of The Real World","201707110443","squawk_201707110443"
"Eggs are kind of discrete, which is nice","201707131516","squawk_201707131516"
"go on and howdy on down the highway","201707200709","squawk_201707200709"
"Time is money. And I need time to spend money. So I need money for money. It's money all the way down.","201707231906","squawk_201707231906"
"only listening to music with Yoshi samples from now on","201707242319","squawk_201707242319"
"soon we'll farm bees from honey","201707280828","squawk_201707280828"
"everyday i scratch the wall in the same place to see if i can make any progress in this world","201707280847","squawk_201707280847"
"my hot productivity tip is to make a new home out of whiteboard","201707300343","squawk_201707300343"
"99% shared DNA but a 100 billion neuron difference","201707310245","squawk_201707310245"
"see the world like a cricket and re-explore some familiar ground","201708010629","squawk_201708010629"
"we do a pretty slim slither of all that is possible","201708011804","squawk_201708011804"
"Wearing yourself in is in","201708030712","squawk_201708030712"
"your ass is *looks down, squints, adjusts glasses* ....grass!?","201708030723","squawk_201708030723"
"I just need to get everyone who has ever met me into one room and have them explain myself to me","201708052025","squawk_201708052025"
"i need to be in the god damn wilderness, cracking my legs against the earth","201708100555","squawk_201708100555"
"I refuse to be myself, not in this economy","201708150503","squawk_201708150503"
"forget ""field day"", just go to a field and start your own day","201708151417","squawk_201708151417"
"Making a weapon to cover people in ice cream sandwich bread","201708211658","squawk_201708211658"
"what's the universe's twist ending? I'm not sure but I think I might have something to do with it","201708241514","squawk_201708241514"
"We have all these predictive powers but we still only react when things get bad.","201708271640","squawk_201708271640"
"I want a car that will fight me when I use it","201708272239","squawk_201708272239"
"get ready! microwave your self-respect for 6 minutes","201708292251","squawk_201708292251"
"change yourself? how bout just changing everyone else in your head","201709162255","squawk_201709162255"
"a cell multiplying and a cell dividing is kind of the same thing","201709180811","squawk_201709180811"
"A wicked curse would be like you have no idea who I am but constantly see what I see as a transparent overlay over your own vision","201709290758","squawk_201709290758"
